 What can Microsoft do to better compete with Apple in the mobile device space?, Microsoft,2009,,,,,,,,,,,,,,,,
How much money spent in USA per year on gas?,Google,2015,,,,,,,,,,,,,,,,
Phils is currently selling coffee through their own cafes. They are considering selling in supermarkets. Should they? Why or why not? What will happen and why?, Microsoft,2013,,,,,,,,,,,,,,,,
 Design the ideal kitchen for a retirement community.,Microsoft,2019,,,,,,,,,,,,,,,,
 How would you build a computer for a parapleigic?,Google,2010,,,,,,,,,,,,,,,,
 How many car batteries are sold in the U.S. every year?,Google,2010,,,,,,,,,,,,,,,,
You own a burrito shop and you want to advertise in a fleet of 100 cabs in San Francisco. The ad will be seen only by the passenger(s). How much are you willing to pay per month.,Google,2013,,,,,,,,,,,,,,,,
Our engineers just invented the teletransporter. Give me your go-to-market plan.,Google,2013,,,,,,,,,,,,,,,,
 Can you describe your greatest succes?,Siemens,2010,,,,,,,,,,,,,,,,
 Tell me about a time when you disagreed with what your manager was directing you to do.,Principal Amazon,2019,,,,,,,,,,,,,,,,
How should Google design and market an Android phone in Nigeria?,Google,2010,,,,,,,,,,,,,,,,
 What is the purpose of the Facebook news feed? How would you improve it?,Facebook,2018,,,,,,,,,,,,,,,,
 Can you tell me how you would manage a product launch for Samsung’s newest smart TV?,Juniper Networks,2011,,,,,,,,,,,,,,,,
 What is the marginal cost of a gigabyte in Gmail?,Google,2009,,,,,,,,,,,,,,,,
 What projects have you worked on that would help you with your responsibilities here?,Owlet,2016,,,,,,,,,,,,,,,,
How would you design a web app for apartment hunting in Boston?,Facebook,2018,,,,,,,,,,,,,,,,
 How would you improve a dry erase marker?,True Brands,2015,,,,,,,,,,,,,,,,
 Tell us about a time you failed to meet a deadline or failed.,Chatmeter,2019,,,,,,,,,,,,,,,,
 Why did you leave your previous company?, VMware,2015,,,,,,,,,,,,,,,,
 What is your favorite app? Why?,MakeSpace,2016,,,,,,,,,,,,,,,,
 Tell me about a time you had to influence someone without authority.,Digital Capital One,2015,,,,,,,,,,,,,,,,
 Describe your favorite product. How would you improve it?,Facebook,2018,,,,,,,,,,,,,,,,
 Why do you want to work here?,Apple,2012,,,,,,,,,,,,,,,,
 Describe a time when you launched a new product.,Global Lenovo,2019,,,,,,,,,,,,,,,,
 Describe a mistake you made and how you fixed it.,Arrow Electronics,2009,,,,,,,,,,,,,,,,
How would you reduce bandwidth consumption in Google Search when users from third 3rd world countries use it?,Google,2015,,,,,,,,,,,,,,,,
 Tell me about a time you solved a problem with data.,IBM,2018,,,,,,,,,,,,,,,,
